2022-04-05 18:39:08.893109
/home/siyu_ren/pugeo_pytorch/main.py
Namespace(batch_size=8, data_path='/home/siyu_ren/pugeo_pytorch_data/', eval_xyz='D:\\PUGEO\\test_5000', gpu='0', jitter_max=0.03, jitter_sigma=0.01, learning_rate=0.001, log_dir='log_x16', max_epoch=600, min_lr=1e-05, model='model_pugeo', num_patch=58, num_point=256, num_shape_point=5000, patch_num_ratio=3, phase='train', pretrained='', reg_normal1=0.1, reg_normal2=0.1, up_ratio=16)
epoch: 0 total loss: 1.487429, cd: 0.014215, dense normal: 0.322480, sparse normal: 0.336697
epoch: 1 total loss: 0.233138, cd: 0.001670, dense normal: 0.323678, sparse normal: 0.337407
epoch: 2 total loss: 0.194100, cd: 0.001282, dense normal: 0.320623, sparse normal: 0.338491
epoch: 3 total loss: 0.182800, cd: 0.001179, dense normal: 0.311684, sparse normal: 0.336989
epoch: 4 total loss: 0.172327, cd: 0.001097, dense normal: 0.296281, sparse normal: 0.329863
epoch: 5 total loss: 0.160400, cd: 0.001025, dense normal: 0.272439, sparse normal: 0.307046
epoch: 6 total loss: 0.143278, cd: 0.000936, dense normal: 0.232594, sparse normal: 0.264351
epoch: 7 total loss: 0.131623, cd: 0.000879, dense normal: 0.207073, sparse normal: 0.230262
epoch: 8 total loss: 0.122036, cd: 0.000827, dense normal: 0.189289, sparse normal: 0.203719
epoch: 9 total loss: 0.115745, cd: 0.000795, dense normal: 0.177840, sparse normal: 0.184988
epoch: 10 total loss: 0.110442, cd: 0.000767, dense normal: 0.167555, sparse normal: 0.170274
epoch: 11 total loss: 0.106497, cd: 0.000746, dense normal: 0.158950, sparse normal: 0.160300
epoch: 12 total loss: 0.103597, cd: 0.000730, dense normal: 0.152806, sparse normal: 0.153581
epoch: 13 total loss: 0.101614, cd: 0.000720, dense normal: 0.148220, sparse normal: 0.148391
epoch: 14 total loss: 0.099867, cd: 0.000711, dense normal: 0.143800, sparse normal: 0.143577
epoch: 15 total loss: 0.098284, cd: 0.000704, dense normal: 0.139687, sparse normal: 0.139322
epoch: 16 total loss: 0.096669, cd: 0.000694, dense normal: 0.136394, sparse normal: 0.135991
epoch: 17 total loss: 0.095314, cd: 0.000689, dense normal: 0.132662, sparse normal: 0.131997
